Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2005,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,89345358,4547830,,u,1344550,N/A,
2005,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1118120935,,,u,96632380,N/A,
2005,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,316532182,,,u,7785400,N/A,
2005,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,100077380,,,u,17828004,N/A,
2005,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,4864630,,,u,104237,N/A,
2005,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,157525388,,,u,10946871,N/A,
2005,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,10249591,,,u,234821,N/A,
2006,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,537879944,34111673,,u,68500750,N/A,
2006,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,403704575,19659393,,u,16841438,N/A,
2006,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,189973881,21023700,,u,51081378,N/A,
2006,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,37293393,1803500,,u,1563436,N/A,
2006,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,110677520,6053100,,u,4837063,N/A,
2006,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,36467464,2444400,,u,2839751,N/A,
2006,M,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,7676,100,,u,5,N/A,
2006,X,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,8384,408,,u,197,N/A,
2006,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,80144427,2244000,,u,1906236,N/A,
2006,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,112564611,5110300,,u,4118832,N/A,
2006,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,212920474,,,u,31387268,N/A,
2006,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,504140840,,,u,103639327,N/A,
2006,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,42328372,,,u,18702656,N/A,
2006,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,56191529,,,u,3894997,N/A,
2006,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,109938343,,,u,11017273,N/A,
2006,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,12421154,,,u,230565,N/A,
2006,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,86344894,,,u,15773353,N/A,
2006,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,240177248,21744901,,u,6992485,N/A,
2006,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,563596289,28867483,,N/A,,N/A,
2006,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,116127637,12751524,,u,3380923,N/A,
2006,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,51807331,3286074,,N/A,,N/A,
2006,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,20654833,314786,,u,601342,N/A,
2006,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,108031353,5469974,,N/A,,N/A,
2006,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1180974551,,,u,105307424,N/A,
2006,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,346682284,,,u,7331911,N/A,
2006,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,166041084,,,u,22845526,N/A,
2006,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,6628351,,,u,79967,N/A,
2006,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,153578521,,,u,18951922,N/A,
2006,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,8596170,,,u,130329,N/A,
2007,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,636069779,43444295,,u,80466003,N/A,
2007,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,412255681,17826390,,u,14848969,N/A,
2007,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,288119520,29822900,,u,61564798,N/A,
2007,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,48094490,2262900,,u,2077002,N/A,
2007,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,111971497,5450100,,u,3608952,N/A,
2007,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,32064439,2221600,,u,2693938,N/A,
2007,X,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,796,34,,u,3,N/A,
2007,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,69347692,1896400,,u,1944291,N/A,
2007,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,96700053,3336700,,u,2427720,N/A,
2007,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,255299332,11633755,,u,32899473,N/A,
2007,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,674434666,24679807,,u,126112744,N/A,
2007,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,45687121,2081920,,u,20196850,N/A,
2007,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,68861059,3137935,,u,4701494,N/A,
2007,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,122237614,4473081,,u,11418583,N/A,
2007,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,17052117,777049,,u,358583,N/A,
2007,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,139608756,5108749,,u,18296758,N/A,
2007,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,258100684,22966492,,N/A,,N/A,
2007,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,613915656,30648360,,N/A,,N/A,
2007,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,148879274,16002738,,N/A,,N/A,
2007,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,51884200,2880523,,N/A,,N/A,
2007,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,18303687,191403,,N/A,,N/A,
2007,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,106969888,5674542,,N/A,,N/A,
2007,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1258075053,57329321,,u,98588691,N/A,
